m,d,p,rho,Fx,Fy,Fz,Tx,Ty,Tz
1,0.005,2,0.1325,-0.030109,-7.5E-05,0.017522,-0.000517,0.003458,-0.000999
1,0.005,2,0.1339,-0.030284,-0.001738,0.014776,-0.000529,0.003385,-0.000677
1,0.005,2,0.1358,-0.030316,-0.001549,0.013795,-0.000521,0.003629,-0.000774
1,0.005,2,0.1379,-0.029549,-9.6E-05,0.007988,-0.000253,0.003358,-0.000943
1,0.005,3,0,-0.007227,-0.000311,-0.001792,-3.4E-05,0.002221,-0.000293
1,0.005,3,0.0019,-0.028028,-0.000683,0.002564,-0.000272,0.005779,-0.001334
1,0.005,3,0.0039,-0.01504,8.6E-05,0.003811,-7.7E-05,0.002182,-0.000301
1,0.005,3,0.0063,-0.011685,0.003851,0.006941,0.00046,0.000323,0.000506
1,0.005,3,0.0081,-0.036656,-0.005168,0.007961,-0.001067,0.004581,-0.002002
1,0.005,3,0.0101,-0.009403,0.000402,0.007049,-0.000187,-0.000477,-0.00022
1,0.005,3,0.0122,-0.03791,-0.001507,0.001032,-0.000323,0.006081,-0.001815
1,0.005,3,0.0145,-0.027313,-0.00089,0.014886,-0.00067,-0.000579,-0.001029
1,0.005,3,0.0157,-0.008035,0.001393,0.012119,-0.00035,-0.002714,3.4E-05
1,0.005,3,0.0183,-0.035101,-0.000164,0.015091,-0.000516,-0.000163,-0.001042
1,0.005,3,0.0209,-0.044687,0.006306,0.024026,-0.000138,-0.002488,1E-05
1,0.005,3,0.0223,-0.051825,0.005333,0.032956,-0.000252,-0.004992,0.000139
1,0.005,3,0.0238,-0.019741,-0.001879,0.017805,-0.000837,-0.003777,-0.001091
1,0.005,3,0.0267,-0.04383,0.001294,0.037362,-0.00112,-0.00848,-0.001121
1,0.005,3,0.0282,-0.020125,0.001953,0.021161,-0.000822,-0.005412,-1E-04
1,0.005,3,0.0298,-0.032388,0.000663,0.025159,-0.000835,-0.005916,-0.000957
1,0.005,3,0.033,-0.025801,-0.00029,0.035038,-0.00119,-0.010365,-0.001037
1,0.005,3,0.0346,-0.024193,-0.001184,0.026276,-0.000967,-0.007534,-0.001259
1,0.005,3,0.0363,-0.063381,0.01263,0.036899,-0.000468,-0.009218,0.001485
1,0.005,3,0.038,-0.044934,0.005185,0.02625,-0.000518,-0.006834,0.000139
1,0.005,3,0.0397,-0.028643,-0.005234,0.027206,-0.001094,-0.008121,-0.002639
1,0.005,3,0.0431,-0.038525,0.005131,0.036306,-0.001095,-0.011466,0.00038
1,0.005,3,0.0449,-0.042199,-0.00584,0.031361,-0.001247,-0.009774,-0.003342
1,0.005,3,0.0467,-0.03058,0.004851,0.027676,-0.000678,-0.008989,0.000683
1,0.005,3,0.0485,-0.048546,-0.002032,0.05613,-0.001824,-0.019101,-0.002417
1,0.005,3,0.0503,-0.040034,-0.000889,0.025201,-0.000974,-0.008384,-0.001611
1,0.005,3,0.0521,-0.039553,0.002449,0.034092,-0.001346,-0.011944,-0.000734
1,0.005,3,0.054,-0.030915,-0.000448,0.037845,-0.001436,-0.013376,-0.001195
1,0.005,3,0.0558,-0.037303,-0.004151,0.041986,-0.001072,-0.014983,-0.002291
1,0.005,3,0.0577,-0.026413,-0.002977,0.037269,-0.001215,-0.013286,-0.001935
1,0.005,3,0.0615,-0.036393,0.000752,0.036658,-0.001323,-0.013631,-0.000699
1,0.005,3,0.0634,-0.027196,0.001351,0.033888,-0.001043,-0.012438,-0.00038
1,0.005,3,0.0653,-0.025292,-0.002402,0.031494,-0.000852,-0.011634,-0.001486
1,0.005,3,0.0672,-0.018347,0.001301,0.034896,-0.00128,-0.012501,-0.000234
1,0.005,3,0.0691,-0.036589,0.001929,0.050841,-0.002006,-0.003412,-0.001292
1,0.005,3,0.071,-0.030017,0.004197,0.03951,-0.001802,-0.003686,-0.001238
1,0.005,3,0.0729,-0.027346,0.002852,0.056305,-0.001919,-0.002054,-0.001127
1,0.005,3,0.0747,-0.03001,-0.001149,0.041472,-0.001051,-0.003146,-0.00107
1,0.005,3,0.0766,-0.031837,0.000298,0.028112,-0.000945,-0.004794,-0.000933
1,0.005,3,0.0785,-0.02548,-0.002937,0.037132,-0.001103,-0.002431,-0.00048
1,0.005,3,0.0804,-0.026597,-0.002369,0.027071,-0.001101,-0.003075,-0.0007
1,0.005,3,0.0822,-0.026346,0.008548,0.030157,-0.001112,-0.002981,-0.00172
1,0.005,3,0.084,-0.02695,-0.003913,0.007878,-0.000128,-0.00434,-0.000284
1,0.005,3,0.0859,-0.02291,0.001895,0.025727,-0.000622,-0.001779,-0.001124
1,0.005,3,0.0877,-0.022949,-0.002724,0.028681,-0.000567,-0.001921,-0.00043
1,0.005,3,0.0912,-0.018472,-0.003,0.037225,-0.001152,0.000125,-0.000567
1,0.005,3,0.093,-0.025039,-0.001773,0.045188,-0.001686,0.000322,-0.000635
1,0.005,3,0.0947,-0.020377,-0.007751,0.041324,-0.001008,0.000973,5.7E-05
1,0.005,3,0.0964,-0.020957,0.007253,0.02949,-0.00094,-2.7E-05,-0.001561
1,0.005,3,0.0981,-0.030114,-0.002855,0.042803,-0.00128,0.001216,-0.000757
1,0.005,3,0.0998,-0.028918,-0.003682,0.040852,-0.001128,0.001719,-0.000358
1,0.005,3,0.1031,-0.024082,-0.005889,0.034949,-0.001007,0.001751,-0.000254
1,0.005,3,0.1046,-0.024148,0.003382,0.030892,-0.001003,0.002069,-0.00125
1,0.005,3,0.1062,-0.030319,0.001552,0.044409,-0.001238,0.003443,-0.001041
1,0.005,3,0.1077,-0.027211,0.003601,0.033581,-0.001024,0.002525,-0.001296
1,0.005,3,0.1107,-0.033503,0.000333,0.033043,-0.001146,0.003085,-0.001106
1,0.005,3,0.1121,-0.036328,0.004224,0.041611,-0.001109,0.003873,-0.001488
1,0.005,3,0.1149,-0.03868,-6.4E-05,0.041289,-0.001407,0.004427,-0.001227
1,0.005,3,0.1163,-0.040681,0.000902,0.034355,-0.00108,0.004208,-0.001358
1,0.005,3,0.1188,-0.04267,0.001714,0.032527,-0.000949,0.004476,-0.001537
1,0.005,3,0.12,-0.041421,-0.00048,0.027531,-0.000927,0.004196,-0.001289
1,0.005,3,0.1224,-0.040124,-0.001122,0.029646,-0.001007,0.004569,-0.001264
1,0.005,3,0.1246,-0.040399,-0.001592,0.029401,-0.000978,0.00487,-0.001167
1,0.005,3,0.1266,-0.041601,4.6E-05,0.025431,-0.000841,0.004741,-0.001368
1,0.005,3,0.1284,-0.044035,-0.000135,0.02667,-0.000903,0.005353,-0.001434
1,0.005,3,0.13,-0.044194,0.000241,0.021465,-0.000688,0.004935,-0.001462
1,0.005,3,0.1322,-0.044443,0.000347,0.017582,-0.000559,0.005053,-0.001427
1,0.005,3,0.1339,-0.046268,0.000886,0.013792,-0.000461,0.004997,-0.001658
1,0.005,3,0.1358,-0.045885,0.000247,0.008498,-0.000295,0.005048,-0.001548
1,0.005,4,0,-0.002711,0.000192,0.000755,3E-06,0.000559,-0.000118
1,0.005,4,0.0018,-0.006888,0.000271,0.001786,-8E-06,0.001264,-0.00018
1,0.005,4,0.0041,-0.013403,-0.000761,0.006943,-0.000466,0.001248,-0.000793
1,0.005,4,0.0063,-0.01648,-0.002887,0.006706,-0.000702,0.001712,-0.001305
1,0.005,4,0.008,-0.017612,0.002161,0.009139,-8.8E-05,0.001029,-0.000427
1,0.005,4,0.0099,-0.018744,0.001387,0.007376,1.1E-05,0.001507,-0.000225
1,0.005,4,0.012,-0.026672,0.008541,0.015461,0.00117,0.000298,0.001363
1,0.005,4,0.0142,-0.022091,-0.000812,0.017305,-0.000626,-0.001549,-0.000829
1,0.005,4,0.0166,-0.040254,0.006308,0.022264,9.5E-05,-0.000525,0.000204
1,0.005,4,0.0178,-0.022974,-0.000607,0.013009,-0.000669,-0.000563,-0.000893
1,0.005,4,0.0204,-0.026587,-0.002602,0.024671,-0.000915,-0.004171,-0.001513
1,0.005,4,0.0218,-0.028419,-0.001385,0.027852,-0.000979,-0.005337,-0.001245
1,0.005,4,0.0246,-0.022763,-0.000254,0.021234,-0.000954,-0.00422,-0.00089
1,0.005,4,0.0261,-0.036516,-0.003925,0.038522,-0.001458,-0.008672,-0.002167
1,0.005,4,0.0291,-0.025585,0.00083,0.028785,-0.000746,-0.006785,-0.000685
1,0.005,4,0.0306,-0.047176,-3.9E-05,0.025008,-0.000849,-0.003794,-0.001915
1,0.005,4,0.0322,-0.03959,-0.001021,0.024599,-0.000728,-0.004645,-0.001244
1,0.005,4,0.0338,-0.044551,0.001936,0.032282,-0.001139,-0.007318,-0.001282
1,0.005,4,0.0371,-0.034973,-0.003163,0.027632,-0.001194,-0.006984,-0.002027
1,0.005,4,0.0388,-0.047265,-0.000396,0.030802,-0.001202,-0.007427,-0.001762
1,0.005,4,0.0405,-0.028486,-0.000402,0.033543,-0.001316,-0.009768,-0.00112
1,0.005,4,0.0422,-0.049902,0.000507,0.047661,-0.001237,-0.013893,-0.00108
1,0.005,4,0.044,-0.051209,0.006106,0.039115,-0.001226,-0.011344,0.000403
1,0.005,4,0.0475,-0.025688,0.004551,0.030498,-0.001017,-0.00969,0.000385
1,0.005,4,0.0493,-0.026864,-0.002353,0.035493,-0.001014,-0.011493,-0.001653
1,0.005,4,0.0511,-0.030355,-0.001413,0.031915,-0.000909,-0.010456,-0.001209
1,0.005,4,0.053,-0.031325,-0.006304,0.037433,-0.000981,-0.012454,-0.002732
1,0.005,4,0.0548,-0.023713,-0.000204,0.035111,-0.001192,-0.011925,-0.000916
1,0.005,4,0.0567,-0.040489,-0.003893,0.031428,-0.001043,-0.010727,-0.002384
1,0.005,4,0.0585,-0.027819,0.003124,0.034455,-0.001265,-0.011959,-3E-05
1,0.005,4,0.0604,-0.027605,0.003092,0.036529,-0.001315,-0.012801,0.000105
1,0.005,4,0.0623,-0.024496,-0.000523,0.032404,-0.001022,-0.011427,-0.000962
1,0.005,4,0.0642,-0.023372,0.00247,0.037525,-0.00142,-0.013283,-5.8E-05
1,0.005,4,0.0661,-0.020398,-9.9E-05,0.029361,-0.00089,-0.010405,-0.00089
1,0.005,4,0.068,-0.019251,-0.001278,0.030524,-0.000757,-0.01086,-0.000999
1,0.005,4,0.0699,-0.020377,0.006345,0.064091,-0.002257,-0.003411,-0.001543
1,0.005,4,0.0718,-0.01543,-0.006649,0.059597,-0.001768,-0.003088,-0.000649
1,0.005,4,0.0756,-0.017907,0.002929,0.044283,-0.001224,-0.004015,-0.001447
1,0.005,4,0.0775,-0.011033,0.00124,0.031932,-0.000459,-0.004221,-0.001222
1,0.005,4,0.0793,-0.024283,0.003023,0.0143,0.000162,-0.00689,-0.001848
1,0.005,4,0.0812,-0.019427,0.005356,0.021841,-0.001251,-0.00505,-0.001704
1,0.005,4,0.083,-0.016106,0.000862,0.021386,-0.000763,-0.004906,-0.001509
1,0.005,4,0.0849,-0.011414,-7.9E-05,0.051053,-0.001703,-0.001384,-0.000908
1,0.005,4,0.0867,-0.008584,0.000381,0.030928,-0.001397,-0.00237,-0.000827
1,0.005,4,0.0885,-0.010383,-0.010264,0.035514,-0.00089,-0.002049,-0.000226
1,0.005,4,0.0903,-0.011416,-0.003474,0.03331,-0.000766,-0.001695,-0.000789
1,0.005,4,0.0921,-0.010476,-9.3E-05,0.027656,-0.000656,-0.001418,-0.001089
1,0.005,4,0.0938,-0.01225,0.001322,0.034086,-0.000945,-0.000761,-0.000923
1,0.005,4,0.0973,-0.01197,0.005918,0.041329,-0.001402,0.001068,-0.001361
1,0.005,4,0.099,-0.015645,0.004933,0.03215,-0.000994,-0.000111,-0.001403
1,0.005,4,0.1006,-0.014749,0.001599,0.040903,-0.00127,0.001449,-0.000979
1,0.005,4,0.1023,-0.020405,0.002223,0.042072,-0.001283,0.002435,-0.001287
1,0.005,4,0.1039,-0.021857,0.004728,0.037711,-0.001368,0.002029,-0.001756
1,0.005,4,0.1071,-0.018484,-0.000258,0.038214,-0.001148,0.002639,-0.000783
1,0.005,4,0.1086,-0.02232,0.000807,0.0446,-0.001463,0.003295,-0.001139
1,0.005,4,0.1101,-0.024411,0.00081,0.043126,-0.001387,0.003613,-0.001436
1,0.005,4,0.113,-0.03419,-0.000115,0.043876,-0.001405,0.004345,-0.00145
1,0.005,4,0.1144,-0.030041,0.001119,0.039073,-0.001238,0.004188,-0.001523
1,0.005,4,0.1171,-0.029569,0.00244,0.030946,-0.00096,0.003754,-0.001542
1,0.005,4,0.1184,-0.04211,0.000426,0.041209,-0.001345,0.005136,-0.001592
1,0.005,4,0.1209,-0.038259,0.001965,0.033876,-0.001007,0.004513,-0.001795
1,0.005,4,0.1221,-0.036108,-0.000229,0.032186,-0.001027,0.004841,-0.00141
1,0.005,4,0.1244,-0.043691,0.001591,0.031034,-0.000889,0.00519,-0.001791
1,0.005,4,0.1265,-0.043862,0.00109,0.03175,-0.00102,0.005655,-0.001768
1,0.005,4,0.1284,-0.043412,0.000604,0.027039,-0.00087,0.005323,-0.001619
1,0.005,4,0.1301,-0.050355,0.000283,0.020891,-0.000818,0.005166,-0.001637
1,0.005,4,0.1324,-0.044528,0.00133,0.021575,-0.000626,0.005359,-0.001557
1,0.005,4,0.1343,-0.051892,0.00032,0.018447,-0.000645,0.005927,-0.001779
1,0.005,4,0.1361,-0.049233,0.00089,0.011991,-0.000298,0.005529,-0.001724
1,0.005,5,0,-0.008996,0.001044,0.001082,0.000214,0.002141,-0.000242
1,0.005,5,0.0019,-0.013982,0.006402,0.003504,0.001337,0.002551,0.000837
1,0.005,5,0.0042,-0.010279,0.001912,0.000964,0.000452,0.002072,0.000129
1,0.005,5,0.0064,-0.024919,-0.003138,-0.00187,-0.000684,0.005813,-0.001528
1,0.005,5,0.0081,-0.031356,-0.00147,0.004862,-0.000479,0.004939,-0.001227
1,0.005,5,0.01,-0.01627,-0.000527,0.010319,-0.000349,4.6E-05,-0.000539
1,0.005,5,0.012,-0.036906,0.003507,0.008979,0.000396,0.003915,-0.000234
1,0.005,5,0.0142,-0.016612,-0.001219,0.009451,-0.000521,-0.000131,-0.0007
1,0.005,5,0.0166,-0.024446,-0.003132,0.01429,-0.000992,-0.000742,-0.001676
1,0.005,5,0.0191,-0.023148,-0.002325,0.010906,-0.000749,-0.000139,-0.001289
1,0.005,5,0.0204,-0.02832,0.004021,0.015259,9.5E-05,-0.001026,0.000305
1,0.005,5,0.0231,-0.025637,8.5E-05,0.019704,-0.000432,-0.003266,-0.000591
1,0.005,5,0.0245,-0.035373,0.001568,0.028488,-0.000687,-0.005259,-0.000808
1,0.005,5,0.026,-0.033735,-0.001265,0.026761,-0.00087,-0.005057,-0.0014
1,0.005,5,0.029,-0.063561,-0.011011,0.031097,-0.002317,-0.004114,-0.005125
1,0.005,5,0.0305,-0.045556,-0.002368,0.018901,-0.000973,-0.002079,-0.002314
1,0.005,5,0.0321,-0.041832,0.000225,0.028994,-0.000838,-0.006206,-0.001626
1,0.005,5,0.0353,-0.035574,-0.000503,0.03358,-0.001396,-0.008826,-0.001506
1,0.005,5,0.037,-0.023388,0.000877,0.021896,-0.0008,-0.005889,-0.000647
1,0.005,5,0.0387,-0.066324,-0.001835,0.032863,-0.000729,-0.007352,-0.002445
1,0.005,5,0.0404,-0.036224,-0.004491,0.033898,-0.001544,-0.009772,-0.002947
1,0.005,5,0.0421,-0.027354,0.002419,0.031604,-0.000779,-0.00955,-4.4E-05
1,0.005,5,0.0456,-0.030818,0.000906,0.033641,-0.001054,-0.010519,-0.000948
1,0.005,5,0.0474,-0.050393,-0.005988,0.027605,-0.00134,-0.008143,-0.003787
1,0.005,5,0.0492,-0.030075,-0.002989,0.034246,-0.001171,-0.011107,-0.002117
1,0.005,5,0.051,-0.035974,0.00071,0.03463,-0.001125,-0.011362,-0.000884
1,0.005,5,0.0528,-0.033687,0.001505,0.030531,-0.001016,-0.010178,-0.00077
1,0.005,5,0.0546,-0.025511,-0.002161,0.033924,-0.001074,-0.011582,-0.001532
1,0.005,5,0.0565,-0.023897,-0.003038,0.032548,-0.000899,-0.01108,-0.001653
1,0.005,5,0.0584,-0.032897,-0.001355,0.039091,-0.001143,-0.01366,-0.001302
1,0.005,5,0.0602,-0.029456,0.002013,0.033994,-0.00118,-0.012012,-0.000355
1,0.005,5,0.0621,-0.023314,-0.004107,0.040306,-0.001131,-0.014121,-0.002027
1,0.005,5,0.064,-0.019954,0.003913,0.029853,-0.00121,-0.010658,0.000517
1,0.005,5,0.0659,-0.016754,-0.001718,0.027855,-0.000824,-0.009874,-0.001172
1,0.005,5,0.0697,-0.017248,0.004495,0.06918,-0.002528,-0.00401,-0.002184
1,0.005,5,0.0716,-0.014677,0.002135,0.057197,-0.00218,-0.004076,-0.001832
1,0.005,5,0.0735,-0.030603,0.005494,0.026888,-0.000572,-0.008239,-0.002932
1,0.005,5,0.0754,-0.009119,-0.010029,0.033325,-0.000645,-0.00486,-0.000881
1,0.005,5,0.0772,-0.020718,-0.001009,0.032147,-0.001401,-0.006658,-0.001861
1,0.005,5,0.0791,-0.003626,-0.00092,0.054757,-0.001343,-0.002201,-0.001428
1,0.005,5,0.081,-0.0224,-0.009403,0.005956,-0.001145,-0.00753,-0.000409
1,0.005,5,0.0828,-0.00504,0.002707,0.035345,-0.001597,-0.003579,-0.001559
1,0.005,5,0.0846,-0.011241,0.00032,0.050866,-0.001077,-0.002314,-0.001853
1,0.005,5,0.0864,-0.004538,0.00169,0.031759,-0.000756,-0.002753,-0.00129
1,0.005,5,0.0882,-0.016044,0.004166,0.022454,-0.000419,-0.004031,-0.001761
1,0.005,5,0.09,-0.012966,0.004528,0.040752,-0.001243,-0.001825,-0.001627
1,0.005,5,0.0935,-0.009957,0.008289,0.053862,-0.001777,0.000642,-0.002049
1,0.005,5,0.0952,-0.005154,-0.00189,0.050986,-0.00193,0.001359,-0.001
1,0.005,5,0.0969,-0.009949,0.002066,0.050787,-0.001492,0.001703,-0.001456
1,0.005,5,0.0986,-0.015498,-0.007646,0.043644,-0.001552,0.000728,-6.5E-05
1,0.005,5,0.1003,-0.013353,-0.001293,0.055689,-0.001873,0.003004,-0.001084
1,0.005,5,0.1019,-0.009441,0.004178,0.041363,-0.001283,0.002251,-0.001019
1,0.005,5,0.1051,-0.026404,0.003082,0.046488,-0.001473,0.003415,-0.001626
1,0.005,5,0.1066,-0.026758,-0.004629,0.058949,-0.002064,0.00476,-0.001006
1,0.005,5,0.1081,-0.027477,0.002179,0.042353,-0.001577,0.002934,-0.002004
1,0.005,5,0.111,-0.033326,-0.002567,0.053725,-0.001791,0.00513,-0.001492
1,0.005,5,0.1124,-0.030176,-0.001159,0.04491,-0.001316,0.004208,-0.001395
1,0.005,5,0.1152,-0.039287,-0.00401,0.053224,-0.0018,0.006105,-0.001285
1,0.005,5,0.1165,-0.045086,0.003465,0.045306,-0.001434,0.005426,-0.002544
1,0.005,5,0.119,-0.039993,-0.000987,0.041508,-0.001383,0.005692,-0.001617
1,0.005,5,0.1202,-0.044864,-0.000943,0.040633,-0.001298,0.006004,-0.001605
1,0.005,5,0.1225,-0.042274,0.002282,0.038922,-0.001175,0.005973,-0.002021
1,0.005,5,0.1246,-0.04998,0.000296,0.039191,-0.001283,0.00666,-0.001791
1,0.005,5,0.1265,-0.054427,-0.000408,0.035599,-0.001115,0.006746,-0.001951
1,0.005,5,0.1283,-0.051758,-0.000746,0.031815,-0.001133,0.006588,-0.001768
1,0.005,5,0.1299,-0.059477,-0.002163,0.032232,-0.001223,0.007256,-0.001797
1,0.005,5,0.1319,-0.057969,0.000536,0.022651,-0.000782,0.006695,-0.002017
1,0.005,5,0.134,-0.059381,0.001728,0.018018,-0.000414,0.006894,-0.002158
1,0.003,1,0,-0.016252,0.002439,-0.000242,0.000601,0.004053,-0.000162
1,0.003,1,0.0021,-0.041203,0.001132,0.025297,-0.000655,0.002469,-0.001127
1,0.003,1,0.0042,-0.015214,0.000962,0.015035,-0.000332,-0.001044,-0.000297
1,0.003,1,0.0059,-0.024529,-0.00278,0.028728,-0.001165,-0.00348,-0.001356
1,0.003,1,0.0077,-0.05126,0.000118,0.037849,-0.000675,-0.001486,-0.001353
1,0.003,1,0.0097,-0.05428,-0.000913,0.062329,-0.001988,-0.009362,-0.001942
1,0.003,1,0.0118,-0.063178,-0.00583,0.062757,-0.002892,-0.009376,-0.003599
1,0.003,1,0.0141,-0.066243,0.004308,0.067876,-0.001665,-0.011426,-0.000866
1,0.003,1,0.0166,-0.075923,0.001646,0.064465,-0.001808,-0.010113,-0.001518
1,0.003,1,0.0179,-0.057389,0.008029,0.061557,-0.001182,-0.012116,0.000736
1,0.003,1,0.0206,-0.056276,0.00191,0.067889,-0.002002,-0.015551,-0.001311
1,0.003,1,0.022,-0.055598,0.00401,0.078713,-0.002111,-0.019782,-0.000493
1,0.003,1,0.0248,-0.077479,-0.003438,0.068755,-0.002672,-0.014969,-0.004004
1,0.003,1,0.0263,-0.07131,0.004723,0.084959,-0.002319,-0.021682,-0.000989
1,0.003,1,0.0279,-0.064977,0.003507,0.075763,-0.001974,-0.019772,-0.00091
1,0.003,1,0.031,-0.055405,-0.002782,0.06769,-0.002322,-0.018717,-0.002485
1,0.003,1,0.0326,-0.061628,0.003846,0.085247,-0.002499,-0.024893,-0.000962
1,0.003,1,0.0342,-0.064687,-0.003937,0.086709,-0.002901,-0.025616,-0.003135
1,0.003,1,0.0359,-0.04909,-0.000575,0.075966,-0.002617,-0.023129,-0.001842
1,0.003,1,0.0393,-0.058231,6.4E-05,0.070533,-0.002403,-0.021772,-0.002038
1,0.003,1,0.041,-0.063146,0.000558,0.078586,-0.002712,-0.024591,-0.002232
1,0.003,1,0.0428,-0.071947,-0.010918,0.080619,-0.003165,-0.025692,-0.006031
1,0.003,1,0.0445,-0.055154,0.000997,0.068955,-0.002248,-0.022138,-0.001716
1,0.003,1,0.0463,-0.051459,-0.00166,0.071182,-0.002057,-0.023391,-0.002087
1,0.003,1,0.0481,-0.052419,0.006862,0.071035,-0.002421,-0.023665,0.000564
1,0.003,1,0.0499,-0.047002,0.006845,0.074125,-0.002349,-0.025067,0.000738
1,0.003,1,0.0518,-0.041278,0.000881,0.074746,-0.002303,-0.025551,-0.000847
1,0.003,1,0.0536,-0.040669,5E-06,0.07549,-0.002618,-0.026075,-0.001342
1,0.003,1,0.0573,-0.042868,-0.002572,0.074241,-0.002373,-0.026218,-0.002255
1,0.003,1,0.0592,-0.023267,-0.000554,0.064453,-0.002245,-0.022162,-0.000962
1,0.003,1,0.0611,-0.02416,-0.00107,0.066688,-0.002118,-0.023108,-0.001084
1,0.003,1,0.063,-0.018101,-0.002307,0.060281,-0.001853,-0.020589,-0.001397
1,0.003,1,0.0649,-0.023253,-0.00058,0.05478,-0.001744,-0.019072,-0.001077
1,0.003,1,0.0668,-0.014018,-0.001255,0.058018,-0.001845,-0.019668,-0.000883
1,0.003,1,0.0687,-0.018549,0.000913,0.065347,-0.001276,-0.00021,-0.000108
1,0.003,1,0.0706,-0.024154,0.001054,0.058497,-0.000954,-0.000847,-0.000318
1,0.003,1,0.0725,-0.031536,-0.001973,0.027364,0.00044,-0.003975,-0.0003
1,0.003,1,0.0744,-0.028947,0.002539,0.027589,0.000855,-0.003877,-0.000838
1,0.003,1,0.0763,-0.030271,-0.00164,0.032087,9.3E-05,-0.002943,-0.000218
1,0.003,1,0.0781,-0.032947,-0.001077,0.018472,5.7E-05,-0.004668,-0.000347
1,0.003,1,0.08,-0.03143,-5.6E-05,0.01672,0.000647,-0.004382,-0.000559
1,0.003,1,0.0818,-0.030382,0.00079,0.029649,-0.000477,-0.002742,-0.000456
1,0.003,1,0.0837,-0.034599,0.000766,0.018645,-9.8E-05,-0.00418,-0.000571
1,0.003,1,0.0873,-0.029886,-0.001315,0.03193,-0.000248,-0.002031,-0.000295
1,0.003,1,0.0891,-0.032626,0.002028,0.018072,0.000236,-0.003566,-0.000944
1,0.003,1,0.0909,-0.032312,-0.002365,0.016622,0.00053,-0.003759,-0.000518
1,0.003,1,0.0926,-0.026535,-0.000453,0.040029,-0.000881,-0.000586,-0.000358
1,0.003,1,0.0944,-0.025892,0.001704,0.035019,-0.000649,-0.000764,-0.000518
1,0.003,1,0.0961,-0.024351,0.001709,0.033205,-0.000395,-0.000677,-0.000684
1,0.003,1,0.0978,-0.024386,-0.002069,0.043803,-0.000744,0.000792,-0.000341
1,0.003,1,0.1011,-0.022428,0.00062,0.0375,-0.000746,0.000595,-0.000351
1,0.003,1,0.1027,-0.023393,6.6E-05,0.044141,-0.000997,0.001682,-0.000392
1,0.003,1,0.1043,-0.023865,-0.000686,0.041543,-0.00071,0.001408,-0.000447
1,0.003,1,0.1058,-0.025854,-0.00148,0.046451,-0.001101,0.002452,-0.0005
1,0.003,1,0.1089,-0.026424,0.000331,0.041591,-0.000978,0.002405,-0.000699
1,0.003,1,0.1103,-0.020747,-0.000358,0.029018,-0.000508,0.001441,-0.000396
1,0.003,1,0.1118,-0.025765,-0.005571,0.033194,-0.000698,0.002057,-0.000109
1,0.003,1,0.1146,-0.032865,0.003317,0.033367,-0.000721,0.002691,-0.001282
1,0.003,1,0.1159,-0.029322,0.003261,0.026781,-0.00066,0.002031,-0.001206
1,0.003,1,0.1185,-0.025962,-0.000964,0.024679,-0.000654,0.002469,-0.000704
1,0.003,1,0.1197,-0.034367,-0.000227,0.02665,-0.00062,0.002917,-0.001125
1,0.003,1,0.122,-0.035547,0.000176,0.026303,-0.000836,0.003275,-0.001106
1,0.003,1,0.1242,-0.035528,0.000146,0.023935,-0.000652,0.003583,-0.00105
1,0.003,1,0.1262,-0.033969,-0.00017,0.020845,-0.000497,0.003439,-0.001073
1,0.003,1,0.128,-0.03289,0.000331,0.019126,-0.000495,0.003481,-0.001032
1,0.003,1,0.1297,-0.032212,-0.000275,0.017641,-0.000497,0.003561,-0.000945
1,0.003,1,0.1318,-0.033545,2.6E-05,0.016035,-0.000468,0.003871,-0.001068
1,0.003,1,0.134,-0.033325,8E-06,0.011213,-0.000346,0.003761,-0.001084
1,0.003,1,0.1356,-0.034462,-0.000226,0.004399,-0.000151,0.003504,-0.001112
1,0.003,2,0,0,0,0,0,0,0
1,0.003,2,0.0021,-0.00222,-0.001473,0.000631,-0.000327,0.000319,-0.000393
1,0.003,2,0.0043,-0.015358,0.003229,0.002421,0.000544,0.002484,0.000423
1,0.003,2,0.0059,-0.006324,-0.000711,-0.000167,-8.8E-05,0.001296,-0.000444
1,0.003,2,0.0077,-0.032177,-0.001821,0.008298,-0.000825,0.003424,-0.001369
1,0.003,2,0.0097,-0.019902,-0.003538,0.013143,-0.000798,-0.000673,-0.001584
1,0.003,2,0.0118,-0.028785,-0.003616,0.014197,-0.000989,5E-05,-0.001906
1,0.003,2,0.0142,-0.042843,-0.002502,0.02221,-0.001164,-0.000869,-0.002292
1,0.003,2,0.0166,-0.029518,0.001857,0.011686,-7.5E-05,0.000189,-0.000606
1,0.003,2,0.0179,-0.03071,-0.005943,0.012263,-0.001235,-0.000121,-0.002698
1,0.003,2,0.0206,-0.02209,0.00292,0.018169,-0.000272,-0.003581,-4E-06
1,0.003,2,0.022,-0.03298,-0.007594,0.012802,-0.001491,-0.00072,-0.003194
1,0.003,2,0.0249,-0.023493,0.000761,0.018407,-0.000517,-0.004102,-0.000579
1,0.003,2,0.0264,-0.041124,0.001266,0.029439,-0.000873,-0.006471,-0.000923
1,0.003,2,0.0279,-0.037277,0.003461,0.028892,-0.000516,-0.006993,-0.000192
1,0.003,2,0.031,-0.039808,2.5E-05,0.031916,-0.000982,-0.008343,-0.001493
1,0.003,2,0.0327,-0.037703,0.00301,0.036996,-0.001132,-0.010613,-0.000561
1,0.003,2,0.0343,-0.051361,-0.002496,0.026445,-0.000869,-0.006256,-0.002739
