Timestamp, power, temperature, voltage
129,2.5,18.95,4.0839
130,2.5,18.95,4.0836
131,2.5,18.95,4.0834
132,2.5,18.95,4.0831
133,2.5,18.95,4.0829
134,2.5,18.95,4.0826
135,2.5,18.95,4.0824
136,2.5,18.95,4.0821
137,2.5,18.95,4.0819
138,2.5,18.95,4.0816
139,2.5,18.95,4.0814
140,2.5,18.95,4.0812
141,2.5,18.95,4.0809
142,2.5,18.95,4.0807
143,2.5,18.95,4.0804
144,2.5,18.95,4.0802
145,2.5,18.95,4.0799
146,2.5,18.95,4.0797
147,2.5,18.95,4.0795
148,2.5,18.95,4.0792
149,2.5,18.95,4.079
150,2.5,18.95,4.0787
151,2.5,18.95,4.0785
152,2.5,18.95,4.0783
153,2.5,18.95,4.078
154,2.5,18.95,4.0778
155,4.82,18.95,4.0775
156,4.82,18.95,4.0653
157,4.82,18.95,4.0559
158,4.82,18.95,4.0476
159,4.82,18.95,4.0406
160,4.82,18.95,4.0346
161,4.82,18.95,4.0295
162,4.82,18.95,4.0252
163,4.82,18.95,4.0214
164,4.82,18.95,4.0182
165,4.82,18.95,4.0154
166,4.82,18.95,4.013
167,4.82,18.95,4.0109
168,4.82,18.95,4.0091
169,4.82,18.95,4.0074
170,4.82,18.95,4.006
171,4.82,18.95,4.0047
172,4.82,18.95,4.0036
173,4.82,18.95,4.0025
174,4.82,18.95,4.0016
175,4.82,18.95,4.0007
176,4.82,18.95,3.9999
177,4.82,18.95,3.9992
178,4.82,18.95,3.9985
179,4.82,18.95,3.9979
180,4.82,18.95,3.9973
181,4.82,18.95,3.9967
182,4.82,18.95,3.9961
183,4.82,18.95,3.9956
184,4.82,18.95,3.9951
185,4.82,18.95,3.9946
186,4.82,18.95,3.9941
187,4.82,18.95,3.9936
188,4.82,18.95,3.9931
189,4.82,18.95,3.9927
190,4.82,18.95,3.9922
191,4.82,18.95,3.9918
192,4.82,18.95,3.9913
193,4.82,18.95,3.9909
194,4.82,18.95,3.9904
195,4.82,18.95,3.99
196,4.82,18.95,3.9896
197,4.82,18.95,3.9892
198,4.82,18.95,3.9888
199,4.82,18.95,3.9883
200,4.82,18.95,3.9879
201,4.82,18.95,3.9875
202,4.82,18.95,3.9871
203,4.82,18.95,3.9867
204,4.82,18.95,3.9863
205,4.82,18.95,3.9859
206,4.82,18.95,3.9855
207,4.82,18.95,3.9851
208,4.82,18.95,3.9847
209,4.82,18.95,3.9843
210,4.82,18.95,3.9839
211,4.82,18.95,3.9835
212,4.82,18.95,3.9831
213,4.82,18.95,3.9827
214,4.82,18.95,3.9823
215,4.82,18.95,3.9819
216,4.82,18.95,3.9815
217,4.82,18.95,3.9811
218,4.82,18.95,3.9807
219,4.82,18.95,3.9804
220,0.0001197,18.95,3.98
